wave flux error
  1.1815e+03  6.9691e-01  3.6726e-02
  1.1826e+03  5.6728e-01  4.1212e-02
  1.1836e+03  6.2857e-01  3.9803e-02
  1.1847e+03  5.9412e-01  4.0889e-02
  1.1857e+03  6.1962e-01  4.7662e-02
  1.1868e+03  6.1723e-01  4.5985e-02
  1.1878e+03  4.7721e-01  4.1653e-02
  1.1889e+03  5.1373e-01  3.7378e-02
  1.1899e+03  3.9262e-01  3.4626e-02
  1.1910e+03  4.4734e-01  5.5459e-02
  1.1920e+03  4.1702e-01  3.5603e-02
  1.1931e+03  4.7397e-01  3.8142e-02
  1.1941e+03  6.6775e-01  3.4020e-02
  1.1952e+03  6.1461e-01  3.9852e-02
  1.1962e+03  6.0459e-01  4.1166e-02
  1.1973e+03  4.6442e-01  3.4561e-02
  1.1983e+03  5.3062e-01  4.2048e-02
  1.1994e+03  6.2465e-01  4.2702e-02
  1.2005e+03  4.6451e-01  3.7090e-02
  1.2015e+03  4.6313e-01  3.9295e-02
  1.2026e+03  4.1224e-01  2.9832e-02
  1.2036e+03  3.4064e-01  3.7186e-02
  1.2047e+03  2.7534e-01  4.7559e-02
  1.2057e+03  2.2198e-01  3.5226e-02
  1.2068e+03  3.1081e-01  3.4664e-02
  1.2078e+03  3.8432e-01  2.7378e-02
  1.2089e+03  2.0493e-01  3.6594e-02
  1.2099e+03  2.6841e-01  3.4143e-02
  1.2110e+03  2.1338e-01  3.0586e-02
  1.2120e+03  3.5571e-01  5.0793e-02
  1.2131e+03  3.2329e-01  5.8166e-02
  1.2141e+03  5.4096e-01  1.2741e-01
  1.2152e+03  6.7607e-01  1.5158e-01
  1.2162e+03  6.9356e-01  1.6018e-01
  1.2173e+03  7.0771e-01  1.1214e-01
  1.2183e+03  7.2600e-01  4.7080e-02
  1.2194e+03  5.9099e-01  3.7309e-02
  1.2204e+03  6.7925e-01  6.0647e-02
  1.2215e+03  6.8676e-01  3.6835e-02
  1.2225e+03  6.6219e-01  5.4056e-02
  1.2236e+03  6.5961e-01  3.2911e-02
  1.2246e+03  8.2225e-01  4.1683e-02
  1.2257e+03  6.5409e-01  3.8174e-02
  1.2267e+03  7.7748e-01  3.0642e-02
  1.2278e+03  7.8171e-01  4.0454e-02
  1.2288e+03  7.9182e-01  4.3031e-02
  1.2299e+03  8.5472e-01  3.1554e-02
  1.2309e+03  8.4847e-01  4.1071e-02
  1.2320e+03  7.5948e-01  3.3380e-02
  1.2330e+03  8.1689e-01  3.2768e-02
  1.2341e+03  8.2940e-01  3.2609e-02
  1.2351e+03  7.4642e-01  2.9227e-02
  1.2362e+03  8.0700e-01  2.8316e-02
  1.2372e+03  8.3677e-01  3.2126e-02
  1.2383e+03  8.5718e-01  2.7877e-02
  1.2393e+03  9.2400e-01  2.6787e-02
  1.2404e+03  9.4184e-01  3.6414e-02
  1.2414e+03  1.0201e+00  3.0726e-02
  1.2425e+03  1.0789e+00  3.4455e-02
  1.2435e+03  1.1253e+00  4.5727e-02
  1.2446e+03  1.0023e+00  3.7164e-02
  1.2456e+03  1.0130e+00  2.6979e-02
  1.2467e+03  9.5732e-01  4.1558e-02
  1.2477e+03  1.0175e+00  3.2048e-02
  1.2488e+03  9.8322e-01  3.4062e-02
  1.2498e+03  9.6353e-01  3.6073e-02
  1.2509e+03  9.9723e-01  2.7450e-02
  1.2519e+03  9.9620e-01  4.3160e-02
  1.2530e+03  1.0167e+00  2.9933e-02
  1.2540e+03  9.2287e-01  3.9460e-02
  1.2551e+03  8.9262e-01  4.5484e-02
  1.2561e+03  8.9652e-01  4.2501e-02
  1.2572e+03  7.4920e-01  4.7276e-02
  1.2582e+03  7.1670e-01  4.4696e-02
  1.2593e+03  6.0329e-01  3.4565e-02
  1.2603e+03  8.2257e-01  4.0791e-02
  1.2614e+03  7.8693e-01  2.8282e-02
  1.2624e+03  9.6897e-01  4.4580e-02
  1.2635e+03  1.0381e+00  3.6443e-02
  1.2645e+03  1.0411e+00  3.9908e-02
  1.2656e+03  1.0919e+00  2.9549e-02
  1.2666e+03  1.0875e+00  3.2238e-02
  1.2677e+03  1.0669e+00  1.9543e-02
  1.2687e+03  1.1109e+00  2.4916e-02
  1.2698e+03  1.1520e+00  2.9680e-02
  1.2708e+03  1.0080e+00  3.2258e-02
  1.2719e+03  1.1667e+00  2.9451e-02
  1.2729e+03  9.8035e-01  3.4282e-02
  1.2740e+03  1.1153e+00  3.9589e-02
