wave flux error
  1.1889e+03  5.4026e-01  4.5869e-02
  1.1899e+03  4.6509e-01  3.6834e-02
  1.1910e+03  5.3708e-01  3.8107e-02
  1.1920e+03  7.2440e-01  4.8248e-02
  1.1931e+03  5.9054e-01  3.3022e-02
  1.1941e+03  6.5723e-01  4.4064e-02
  1.1952e+03  6.9169e-01  4.1578e-02
  1.1962e+03  5.9760e-01  3.4596e-02
  1.1973e+03  6.3304e-01  3.8125e-02
  1.1983e+03  6.4750e-01  2.6056e-02
  1.1994e+03  6.3970e-01  3.1733e-02
  1.2005e+03  6.3621e-01  3.8700e-02
  1.2015e+03  5.3248e-01  4.4056e-02
  1.2026e+03  5.5297e-01  4.4432e-02
  1.2036e+03  4.3413e-01  3.7712e-02
  1.2047e+03  4.1763e-01  3.3973e-02
  1.2057e+03  4.5424e-01  3.2265e-02
  1.2068e+03  4.5746e-01  3.7494e-02
  1.2078e+03  4.9524e-01  4.0409e-02
  1.2089e+03  4.5657e-01  4.1767e-02
  1.2099e+03  4.2788e-01  3.3815e-02
  1.2110e+03  6.6483e-01  3.1936e-02
  1.2120e+03  7.1466e-01  4.3474e-02
  1.2131e+03  8.9771e-01  5.5753e-02
  1.2141e+03  1.2652e+00  3.4836e-02
  1.2152e+03  1.5122e+00  4.0292e-02
  1.2162e+03  1.6177e+00  4.7822e-02
  1.2173e+03  1.3364e+00  4.7347e-02
  1.2183e+03  1.2934e+00  3.9758e-02
  1.2194e+03  9.7985e-01  4.3004e-02
  1.2204e+03  8.9437e-01  3.7123e-02
  1.2215e+03  8.9048e-01  4.4581e-02
  1.2225e+03  7.9766e-01  3.2375e-02
  1.2236e+03  9.2452e-01  3.1076e-02
  1.2246e+03  8.0143e-01  2.8745e-02
  1.2257e+03  8.0950e-01  3.6089e-02
  1.2267e+03  7.9710e-01  3.8040e-02
  1.2278e+03  8.2639e-01  3.3248e-02
  1.2288e+03  7.8906e-01  3.5300e-02
  1.2299e+03  7.6143e-01  3.8229e-02
  1.2309e+03  7.8802e-01  3.9728e-02
  1.2320e+03  8.1435e-01  3.0121e-02
  1.2330e+03  8.8014e-01  3.2464e-02
  1.2341e+03  8.9257e-01  3.4741e-02
  1.2351e+03  7.8791e-01  2.9572e-02
  1.2362e+03  8.8375e-01  3.0456e-02
  1.2372e+03  9.7252e-01  3.0749e-02
  1.2383e+03  9.1181e-01  2.9340e-02
  1.2393e+03  9.0547e-01  2.3126e-02
  1.2404e+03  9.8202e-01  3.0925e-02
  1.2414e+03  9.9820e-01  3.1845e-02
  1.2425e+03  1.0600e+00  2.9909e-02
  1.2435e+03  9.8261e-01  3.2290e-02
  1.2446e+03  1.0529e+00  3.0619e-02
  1.2456e+03  1.1220e+00  2.9793e-02
  1.2467e+03  1.0108e+00  2.5010e-02
  1.2477e+03  9.8567e-01  3.6379e-02
  1.2488e+03  9.9068e-01  3.2762e-02
  1.2498e+03  9.2434e-01  2.6574e-02
  1.2509e+03  9.5606e-01  3.8305e-02
  1.2519e+03  9.3887e-01  4.1312e-02
  1.2530e+03  9.1070e-01  3.5355e-02
  1.2540e+03  9.2321e-01  3.0236e-02
  1.2551e+03  9.2669e-01  3.0129e-02
  1.2561e+03  7.7427e-01  3.8165e-02
  1.2572e+03  7.8775e-01  2.6492e-02
  1.2582e+03  8.4684e-01  4.0388e-02
  1.2593e+03  7.0411e-01  3.2016e-02
  1.2603e+03  9.1324e-01  3.7065e-02
  1.2614e+03  9.8930e-01  3.9252e-02
  1.2624e+03  1.0567e+00  3.1199e-02
  1.2635e+03  9.3388e-01  3.6917e-02
  1.2645e+03  1.0582e+00  3.7097e-02
  1.2656e+03  1.0198e+00  3.0766e-02
  1.2666e+03  1.0892e+00  3.6013e-02
  1.2677e+03  9.9584e-01  2.9700e-02
  1.2687e+03  1.1501e+00  3.7785e-02
  1.2698e+03  9.9694e-01  3.2924e-02
  1.2708e+03  1.0079e+00  3.8585e-02
  1.2719e+03  1.0639e+00  3.2344e-02
  1.2729e+03  9.5396e-01  3.4789e-02
  1.2740e+03  1.0831e+00  3.5462e-02
  1.2750e+03  1.0129e+00  3.8099e-02
  1.2761e+03  1.0840e+00  2.4683e-02
  1.2771e+03  1.0693e+00  3.6645e-02
  1.2782e+03  1.0653e+00  3.5130e-02
  1.2792e+03  1.0284e+00  3.1982e-02
  1.2803e+03  9.5476e-01  3.3721e-02
  1.2814e+03  1.0869e+00  2.7767e-02
  1.2824e+03  1.1120e+00  3.5399e-02
  1.2835e+03  1.0322e+00  3.1954e-02
  1.2845e+03  1.0771e+00  3.0426e-02
  1.2856e+03  1.0518e+00  3.8860e-02
  1.2866e+03  1.0624e+00  3.2130e-02
  1.2877e+03  1.0860e+00  2.9273e-02
  1.2887e+03  1.0659e+00  3.1052e-02
  1.2898e+03  1.0130e+00  2.8945e-02
  1.2908e+03  1.0259e+00  3.4265e-02
  1.2919e+03  9.6047e-01  3.4639e-02
  1.2929e+03  9.7636e-01  3.0354e-02
  1.2940e+03  9.4914e-01  2.8716e-02
  1.2950e+03  1.0030e+00  3.8312e-02
  1.2961e+03  9.3309e-01  3.4565e-02
  1.2971e+03  9.5224e-01  3.0801e-02
  1.2982e+03  7.6173e-01  5.0728e-02
  1.2992e+03  6.8704e-01  3.4610e-02
  1.3003e+03  7.0348e-01  3.7123e-02
  1.3013e+03  8.4558e-01  3.0923e-02
  1.3024e+03  7.9901e-01  3.9152e-02
  1.3034e+03  8.6168e-01  2.7213e-02
  1.3045e+03  1.0521e+00  3.3116e-02
  1.3055e+03  9.3042e-01  2.9577e-02
  1.3066e+03  1.1383e+00  4.7978e-02
  1.3076e+03  1.1509e+00  3.2328e-02
  1.3087e+03  1.1056e+00  3.5189e-02
  1.3097e+03  1.1023e+00  3.4964e-02
  1.3108e+03  1.1666e+00  3.1125e-02
  1.3118e+03  1.1383e+00  2.8275e-02
  1.3129e+03  1.0022e+00  3.0604e-02
  1.3139e+03  1.0074e+00  3.0801e-02
  1.3150e+03  1.0409e+00  3.1733e-02
  1.3160e+03  1.0387e+00  3.4735e-02
  1.3171e+03  1.0292e+00  3.0183e-02
  1.3181e+03  1.0459e+00  2.8130e-02
  1.3192e+03  9.7314e-01  3.0774e-02
  1.3202e+03  1.0273e+00  3.0325e-02
  1.3213e+03  1.0161e+00  2.1338e-02
  1.3223e+03  9.3057e-01  2.8703e-02
  1.3234e+03  9.3440e-01  4.6245e-02
  1.3244e+03  1.0051e+00  2.8974e-02
  1.3255e+03  1.0621e+00  2.8941e-02
  1.3265e+03  9.9855e-01  3.4351e-02
  1.3276e+03  1.0385e+00  3.3026e-02
  1.3286e+03  9.3744e-01  3.4400e-02
  1.3297e+03  9.0753e-01  3.0699e-02
  1.3307e+03  7.5662e-01  3.2424e-02
  1.3318e+03  8.2035e-01  3.5555e-02
  1.3328e+03  7.5342e-01  3.5557e-02
  1.3339e+03  8.6583e-01  3.6065e-02
  1.3349e+03  8.4808e-01  3.8371e-02
  1.3360e+03  9.2089e-01  2.7864e-02
  1.3370e+03  1.0106e+00  3.7692e-02
  1.3381e+03  1.0260e+00  2.2785e-02
  1.3391e+03  1.0113e+00  3.1603e-02
  1.3402e+03  1.0433e+00  2.1763e-02
  1.3412e+03  1.0487e+00  3.5752e-02
  1.3423e+03  1.0853e+00  3.8511e-02
  1.3433e+03  1.0762e+00  2.8160e-02
  1.3444e+03  1.0093e+00  3.5166e-02
  1.3454e+03  1.0233e+00  3.2286e-02
  1.3465e+03  1.1172e+00  2.9941e-02
  1.3475e+03  1.1127e+00  3.5261e-02
  1.3486e+03  1.0009e+00  3.2549e-02
  1.3496e+03  1.0094e+00  2.6924e-02
  1.3507e+03  1.0217e+00  3.5257e-02
  1.3517e+03  1.1751e+00  3.1552e-02
  1.3528e+03  1.0739e+00  3.2720e-02
  1.3538e+03  1.1407e+00  3.0514e-02
  1.3549e+03  1.0154e+00  3.1145e-02
  1.3559e+03  1.0826e+00  3.0455e-02
  1.3570e+03  9.7000e-01  3.5286e-02
  1.3580e+03  1.0418e+00  3.1188e-02
  1.3591e+03  1.0755e+00  4.0206e-02
  1.3602e+03  1.0500e+00  2.9143e-02
  1.3612e+03  9.7399e-01  2.8846e-02
  1.3623e+03  1.0364e+00  2.9884e-02
  1.3633e+03  1.0322e+00  2.4947e-02
  1.3644e+03  1.0802e+00  3.1411e-02
  1.3654e+03  9.9447e-01  3.4988e-02
  1.3665e+03  9.4771e-01  3.7093e-02
  1.3675e+03  1.0836e+00  3.0952e-02
  1.3686e+03  8.9005e-01  3.2760e-02
  1.3696e+03  1.0762e+00  2.2606e-02
  1.3707e+03  9.8407e-01  3.5594e-02
  1.3717e+03  1.0310e+00  3.7313e-02
  1.3728e+03  1.0801e+00  3.8642e-02
  1.3738e+03  1.1343e+00  2.9643e-02
  1.3749e+03  1.0516e+00  1.9783e-02
  1.3759e+03  1.0034e+00  3.3643e-02
  1.3770e+03  9.9010e-01  3.5564e-02
  1.3780e+03  1.0855e+00  2.5057e-02
  1.3791e+03  9.9269e-01  3.1328e-02
  1.3801e+03  1.0454e+00  3.3095e-02
  1.3812e+03  1.0158e+00  3.8851e-02
  1.3822e+03  9.9843e-01  3.4655e-02
  1.3833e+03  1.0313e+00  4.1556e-02
  1.3843e+03  1.0389e+00  3.3352e-02
  1.3854e+03  1.0035e+00  2.9899e-02
  1.3864e+03  1.0099e+00  4.3877e-02
  1.3875e+03  8.9321e-01  3.2191e-02
  1.3885e+03  8.9951e-01  3.7362e-02
  1.3896e+03  8.0056e-01  3.3581e-02
  1.3906e+03  7.8164e-01  3.2824e-02
  1.3917e+03  7.7268e-01  3.7978e-02
  1.3927e+03  8.9842e-01  3.0302e-02
  1.3938e+03  8.9261e-01  3.8958e-02
  1.3948e+03  8.4054e-01  2.5668e-02
  1.3959e+03  1.0072e+00  3.2255e-02
  1.3969e+03  8.8315e-01  3.0377e-02
  1.3980e+03  9.4266e-01  3.5847e-02
  1.3990e+03  9.5152e-01  3.8620e-02
  1.4001e+03  8.2716e-01  3.5187e-02
  1.4011e+03  8.9450e-01  4.2920e-02
  1.4022e+03  9.2421e-01  4.0559e-02
  1.4032e+03  8.6765e-01  2.9443e-02
  1.4043e+03  9.6639e-01  2.8620e-02
  1.4053e+03  1.0125e+00  3.6103e-02
  1.4064e+03  9.8772e-01  3.1871e-02
  1.4074e+03  1.0528e+00  3.1931e-02
  1.4085e+03  1.0221e+00  4.0368e-02
  1.4095e+03  9.8872e-01  3.0029e-02
  1.4106e+03  1.0190e+00  3.1180e-02
  1.4116e+03  1.0971e+00  2.9333e-02
  1.4127e+03  1.0035e+00  2.9894e-02
  1.4137e+03  1.0303e+00  3.6656e-02
  1.4148e+03  1.0351e+00  2.8957e-02
  1.4158e+03  9.5525e-01  3.1425e-02
  1.4169e+03  1.0839e+00  2.9346e-02
  1.4179e+03  1.1444e+00  3.1460e-02
